"word","stateWD","lifespan","nsense","nchange","freqBand"
"a-be_v","non-obsolete words",306,2,3,0
"abacinate_v","non-obsolete words",169,1,1,0
"abalienate_v","non-obsolete words",469,3,5,1
"aband_v","non-obsolete words",450,2,3,2
"abandon_v","non-obsolete words",631,11,15,6
"abase_v","non-obsolete words",631,3,3,4
"abash_v","non-obsolete words",640,4,6,4
"abastardize_v","non-obsolete words",450,1,1,0
"abate_v1","non-obsolete words",724,23,34,5
"abate_v2","non-obsolete words",588,2,2,2
"abbreviate_v","non-obsolete words",549,8,9,5
"abdicate_v","non-obsolete words",492,8,10,5
"abduce_v","non-obsolete words",487,4,4,2
"abduct_v","non-obsolete words",259,4,4,5
"abear_v","non-obsolete words",428,3,5,2
"aberr_v","non-obsolete words",484,1,1,1
"aberrate_v","non-obsolete words",275,2,2,3
"aberuncate_v","non-obsolete words",293,1,1,0
"abet_v","non-obsolete words",644,5,6,5
"abey_v2","non-obsolete words",158,1,1,2
"abhor_v","non-obsolete words",599,7,11,5
"abide_v","non-obsolete words",999,22,25,6
"abilitate_v","non-obsolete words",396,1,1,1
"abject_v","non-obsolete words",599,3,3,3
"abjoint_v","non-obsolete words",137,1,1,1
"abjudicate_v","non-obsolete words",422,2,2,1
"abjugate_v","non-obsolete words",294,1,1,0
"abjure_v","non-obsolete words",594,7,8,4
"ablaqueate_v","non-obsolete words",584,1,1,0
"ablate_v","non-obsolete words",549,4,4,4
"able_v","non-obsolete words",624,6,11,4
"abligate_v","non-obsolete words",409,2,3,0
"ablude_v","non-obsolete words",414,1,1,0
"ablute_v","non-obsolete words",321,2,2,2
"abmigrate_v","non-obsolete words",95,1,1,0
"abnegate_v","non-obsolete words",481,2,2,3
"abnormalize_v","non-obsolete words",175,1,1,2
"aboard_v","non-obsolete words",566,2,2,3
"abode_v","non-obsolete words",451,2,3,2
"aboiteau_v","non-obsolete words",125,1,1,1
"abolish_v","non-obsolete words",549,1,1,5
"abolitionize_v","non-obsolete words",188,1,1,2
"abominate_v","non-obsolete words",427,2,2,3
"aborn_v","non-obsolete words",168,1,1,2
"abort_v","non-obsolete words",484,11,11,5
"abound_v1","non-obsolete words",674,8,11,5
"abound_v2","non-obsolete words",626,3,5,3
"about-face_v","non-obsolete words",220,2,2,3
"about-turn_v","non-obsolete words",131,1,1,2
"abrade_v","non-obsolete words",349,3,3,4
"abraid_v1","non-obsolete words",599,10,19,2
"abraid_v2","non-obsolete words",694,1,1,2
"abrase_v","non-obsolete words",549,1,1,2
"abreact_v","non-obsolete words",115,1,1,3
"abrenounce_v","non-obsolete words",487,1,1,0
"abridge_v","non-obsolete words",642,8,10,5
"abrogate_v","non-obsolete words",504,4,4,5
"abrupt_v","non-obsolete words",390,1,1,2
"abscind_v","non-obsolete words",414,3,3,2
"abscise_v","non-obsolete words",524,3,3,3
"absciss_v","non-obsolete words",385,3,3,2
"abscond_v","non-obsolete words",438,3,3,4
"abseil_v","non-obsolete words",116,1,1,3
"absent_v","non-obsolete words",599,4,4,5
"absinthiate_v","non-obsolete words",208,1,1,1
"absolutize_v","non-obsolete words",159,1,1,4
"absolve_v","non-obsolete words",549,9,10,5
"absorb_v","non-obsolete words",534,10,11,6
"absquatulate_v","non-obsolete words",194,2,2,2
"abstain_v","non-obsolete words",644,10,12,5
"absterge_v","non-obsolete words",498,2,2,1
"absterse_v","non-obsolete words",599,1,1,1
"abstract_v","non-obsolete words",575,13,15,5
"abstrict_v","non-obsolete words",147,2,2,2
"abuse_v","non-obsolete words",594,12,17,6
"abut_v","non-obsolete words",774,7,7,4
"abye_v","non-obsolete words",999,7,10,2
"abyss_v","non-obsolete words",428,1,1,3
"academicize_v","non-obsolete words",178,2,2,2
"academize_v","non-obsolete words",176,3,4,2
"acast_v","non-obsolete words",799,1,1,1
"accede_v","non-obsolete words",559,5,6,5
"accelerate_v","non-obsolete words",502,9,10,6
"accent_v","non-obsolete words",494,5,5,5
"accentuate_v","non-obsolete words",305,3,3,5
"accept_v","non-obsolete words",642,20,20,7
"access_v1","non-obsolete words",130,1,1,4
"access_v2","non-obsolete words",71,4,4,6
"accession_v","non-obsolete words",137,1,1,3
"accessorize_v","non-obsolete words",90,2,2,3
"accinge_v","non-obsolete words",367,1,1,1
"acclaim_v","non-obsolete words",694,8,10,5
"acclimate_v","non-obsolete words",232,4,4,4
"acclimatize_v","non-obsolete words",222,5,5,4
"accolade_v","non-obsolete words",181,1,1,3
"accommodate_v","non-obsolete words",493,20,24,6
"accommode_v","non-obsolete words",457,1,1,2
"accompany_v","non-obsolete words",598,12,17,6
"accomplish_v","non-obsolete words",619,8,9,6
"accord_v","non-obsolete words",999,16,19,6
"accordion_v","non-obsolete words",127,2,2,4
"accost_v","non-obsolete words",457,8,13,4
"accouche_v","non-obsolete words",205,6,10,2
"account_v","non-obsolete words",724,25,35,6
"accouple_v","non-obsolete words",476,2,2,2
"accoutre_v","non-obsolete words",491,1,1,3
"accredit_v","non-obsolete words",426,6,6,5
"accreditate_v","non-obsolete words",370,1,1,2
"accresce_v","non-obsolete words",489,3,4,2
"accrete_v","non-obsolete words",360,5,5,4
"accroach_v","non-obsolete words",631,3,3,2
"accrue_v","non-obsolete words",584,8,10,5
"accrust_v","non-obsolete words",182,2,3,0
