"word","stateWD","lifespan","nsense","nchange"
"abacinate_v","non-obsolete words",169,1,1
"abalienate_v","non-obsolete words",469,3,5
"aband_v","non-obsolete words",450,2,3
"abandon_v","non-obsolete words",631,11,15
"abase_v","non-obsolete words",631,3,3
"abash_v","non-obsolete words",640,4,6
"abastardize_v","non-obsolete words",450,1,1
"abate_v1","non-obsolete words",724,23,34
"abate_v2","non-obsolete words",588,2,2
"abbreviate_v","non-obsolete words",549,8,9
"abdicate_v","non-obsolete words",492,8,10
"abduce_v","non-obsolete words",487,4,4
"abduct_v","non-obsolete words",259,4,4
"a-be_v","non-obsolete words",306,2,3
"abear_v","non-obsolete words",428,3,5
"aberr_v","non-obsolete words",484,1,1
"aberrate_v","non-obsolete words",275,2,2
"aberuncate_v","non-obsolete words",293,1,1
"abet_v","non-obsolete words",644,5,6
"abey_v2","non-obsolete words",158,1,1
"abhor_v","non-obsolete words",599,7,11
"abide_v","non-obsolete words",999,22,25
"abilitate_v","non-obsolete words",396,1,1
"abject_v","non-obsolete words",599,3,3
"abjoint_v","non-obsolete words",137,1,1
"abjudicate_v","non-obsolete words",422,2,2
"abjugate_v","non-obsolete words",294,1,1
"abjure_v","non-obsolete words",594,7,8
"ablaqueate_v","non-obsolete words",584,1,1
"ablate_v","non-obsolete words",549,4,4
"able_v","non-obsolete words",624,6,11
"abligate_v","non-obsolete words",409,2,3
"ablude_v","non-obsolete words",414,1,1
"ablute_v","non-obsolete words",321,2,2
"abmigrate_v","non-obsolete words",95,1,1
"abnegate_v","non-obsolete words",481,2,2
"abnormalize_v","non-obsolete words",175,1,1
"aboard_v","non-obsolete words",566,2,2
"abode_v","non-obsolete words",451,2,3
"aboiteau_v","non-obsolete words",125,1,1
"abolish_v","non-obsolete words",549,1,1
"abolitionize_v","non-obsolete words",188,1,1
"abominate_v","non-obsolete words",427,2,2
"aborn_v","non-obsolete words",168,1,1
"abort_v","non-obsolete words",484,11,11
"abound_v1","non-obsolete words",674,8,11
"abound_v2","non-obsolete words",626,3,5
"about-face_v","non-obsolete words",220,2,2
"about-turn_v","non-obsolete words",131,1,1
"abrade_v","non-obsolete words",349,3,3
"abraid_v1","non-obsolete words",599,10,19
"abraid_v2","non-obsolete words",694,1,1
"abrase_v","non-obsolete words",549,1,1
"abreact_v","non-obsolete words",115,1,1
"abrenounce_v","non-obsolete words",487,1,1
"abridge_v","non-obsolete words",642,8,10
"abrogate_v","non-obsolete words",504,4,4
"abrupt_v","non-obsolete words",390,1,1
"abscind_v","non-obsolete words",414,3,3
"abscise_v","non-obsolete words",524,3,3
"absciss_v","non-obsolete words",385,3,3
"abscond_v","non-obsolete words",438,3,3
"abseil_v","non-obsolete words",116,1,1
"absent_v","non-obsolete words",599,4,4
"absinthiate_v","non-obsolete words",208,1,1
"absolutize_v","non-obsolete words",159,1,1
"absolve_v","non-obsolete words",549,9,10
"absorb_v","non-obsolete words",534,10,11
"absquatulate_v","non-obsolete words",194,2,2
"abstain_v","non-obsolete words",644,10,12
"absterge_v","non-obsolete words",498,2,2
"absterse_v","non-obsolete words",599,1,1
"abstract_v","non-obsolete words",575,13,15
"abstrict_v","non-obsolete words",147,2,2
"abuse_v","non-obsolete words",594,12,17
"abut_v","non-obsolete words",774,7,7
"abye_v","non-obsolete words",999,7,10
"abyss_v","non-obsolete words",428,1,1
"academicize_v","non-obsolete words",178,2,2
"academize_v","non-obsolete words",176,3,4
"acast_v","non-obsolete words",799,1,1
"accede_v","non-obsolete words",559,5,6
"accelerate_v","non-obsolete words",502,9,10
"accent_v","non-obsolete words",494,5,5
"accentuate_v","non-obsolete words",305,3,3
"accept_v","non-obsolete words",642,20,20
"access_v1","non-obsolete words",130,1,1
"access_v2","non-obsolete words",71,4,4
"accession_v","non-obsolete words",137,1,1
"accessorize_v","non-obsolete words",90,2,2
"accinge_v","non-obsolete words",367,1,1
"acclaim_v","non-obsolete words",694,8,10
"acclimate_v","non-obsolete words",232,4,4
"acclimatize_v","non-obsolete words",222,5,5
"accolade_v","non-obsolete words",181,1,1
"accommodate_v","non-obsolete words",493,20,24
"accommode_v","non-obsolete words",457,1,1
"accompany_v","non-obsolete words",598,12,17
"accomplish_v","non-obsolete words",619,8,9
"accord_v","non-obsolete words",999,16,19
"accordion_v","non-obsolete words",127,2,2
"accost_v","non-obsolete words",457,8,13
"accouche_v","non-obsolete words",205,6,10
"account_v","non-obsolete words",724,25,35
"accouple_v","non-obsolete words",476,2,2
"accoutre_v","non-obsolete words",491,1,1
"accredit_v","non-obsolete words",426,6,6
"accreditate_v","non-obsolete words",370,1,1
"accresce_v","non-obsolete words",489,3,4
"accrete_v","non-obsolete words",360,5,5
"accroach_v","non-obsolete words",631,3,3
"accrue_v","non-obsolete words",584,8,10
"accrust_v","non-obsolete words",182,2,3
"acculturate_v","non-obsolete words",107,3,3
"acculture_v","non-obsolete words",129,3,3
"acculturize_v","non-obsolete words",92,1,1
"accumber_v","non-obsolete words",749,1,1
"accumulate_v","non-obsolete words",537,4,4
"accurize_v","non-obsolete words",69,1,1
"accurse_v","non-obsolete words",999,1,1
"accuse_v","non-obsolete words",724,8,8
"accustom_v","non-obsolete words",602,6,9
"ace_v","non-obsolete words",101,6,6
"acerbate_v","non-obsolete words",367,1,1
"acervate_v","non-obsolete words",401,1,1
"acetify_v","non-obsolete words",235,2,2
"acetylate_v","non-obsolete words",139,1,1
"achase_v","non-obsolete words",574,1,1
"ache_v","non-obsolete words",642,5,6
"achieve_v","non-obsolete words",724,7,9
"achoo_v","non-obsolete words",126,1,1
"achromatize_v","non-obsolete words",194,1,1
"acidify_v","non-obsolete words",241,3,4
"acidize_v","non-obsolete words",172,1,1
"acidulate_v","non-obsolete words",340,1,1
"acierate_v","non-obsolete words",164,1,1
"acknowledge_v","non-obsolete words",543,9,9
"acquaint_v","non-obsolete words",699,9,13
"acquiesce_v","non-obsolete words",411,7,11
"acquire_v","non-obsolete words",574,10,11
"acquit_v","non-obsolete words",799,18,27
"acquittance_v","non-obsolete words",576,1,1
"acronym_v","non-obsolete words",57,1,1
"acronymize_v","non-obsolete words",69,1,1
"acrospire_v","non-obsolete words",594,1,1
"act_v","non-obsolete words",564,23,29
"actinize_v","non-obsolete words",180,1,1
"action_v","non-obsolete words",290,3,3
"actionize_v","non-obsolete words",410,2,3
"activate_v","non-obsolete words",400,6,6
"active_v","non-obsolete words",404,1,1
"actor-manage_v","non-obsolete words",117,1,1
"actor-manager_v","non-obsolete words",117,1,1
"actualize_v","non-obsolete words",215,6,6
"actuate_v","non-obsolete words",430,9,10
"acuate_v","non-obsolete words",482,1,1
"acuminate_v","non-obsolete words",413,2,2
"acupunctuate_v","non-obsolete words",194,1,1
"acupuncture_v","non-obsolete words",198,1,1
"acute_v","non-obsolete words",520,3,4
"acylate_v","non-obsolete words",135,1,1
"adam-and-eve_v","non-obsolete words",99,1,1
"adapt_v","non-obsolete words",493,12,13
"adaptate_v","non-obsolete words",386,1,1
"adaw_v2","non-obsolete words",584,2,3
"add_v","non-obsolete words",642,12,14
"addict_v","non-obsolete words",490,7,10
"addle_v1","non-obsolete words",849,2,2
"addle_v2","non-obsolete words",372,4,4
"address_v","non-obsolete words",699,38,57
"adduce_v","non-obsolete words",599,1,1
"adduct_v","non-obsolete words",200,1,1
"addulce_v","non-obsolete words",547,1,1
"adeem_v","non-obsolete words",253,1,1
"adempt_v","non-obsolete words",434,1,1
"adenylate_v","non-obsolete words",61,1,1
"adequate_v","non-obsolete words",431,2,2
"adhere_v","non-obsolete words",563,11,12
"adhibit_v","non-obsolete words",486,5,7
"ad-hoc_v","non-obsolete words",64,2,2
"adhorn_v","non-obsolete words",419,1,1
"adhort_v","non-obsolete words",524,1,1
"adiate_v","non-obsolete words",193,1,1
"adieu_v","non-obsolete words",524,2,2
"adject_v","non-obsolete words",549,2,3
"adjective_v","non-obsolete words",222,3,3
"adjectivize_v","non-obsolete words",176,1,1
"adjoin_v","non-obsolete words",699,9,12
"adjourn_v","non-obsolete words",699,6,6
"adjudge_v","non-obsolete words",625,6,7
"adjudicate_v","non-obsolete words",369,5,5
"adjure_v","non-obsolete words",599,3,3
"adjust_v2","non-obsolete words",413,11,12
"adjuvate_v","non-obsolete words",471,1,1
"adlect_v","non-obsolete words",110,1,1
"ad-lib_v","non-obsolete words",114,2,2
"admarginate_v","non-obsolete words",190,1,1
"admeasure_v","non-obsolete words",684,4,5
"adminiculate_v","non-obsolete words",492,1,1
"administer_v","non-obsolete words",629,15,15
"administrate_v","non-obsolete words",486,7,7
"admiral_v","non-obsolete words",320,1,1
"admire_v","non-obsolete words",595,11,13
"admit_v","non-obsolete words",614,18,18
"admix_v","non-obsolete words",502,1,1
"admixt_v","non-obsolete words",495,1,1
"admonish_v","non-obsolete words",699,8,8
"adnote_v","non-obsolete words",466,1,1
"adnumber_v","non-obsolete words",493,1,1
"adolesce_v","non-obsolete words",165,1,1
"adonize_v","non-obsolete words",413,2,2
"adopt_v","non-obsolete words",595,16,18
"adore_v","non-obsolete words",724,6,8
"adorn_v","non-obsolete words",699,7,8
"adornate_v","non-obsolete words",474,1,1
"adpress_v","non-obsolete words",152,1,1
"adrenalectomize_v","non-obsolete words",107,1,1
"adrenalize_v","non-obsolete words",119,3,3
"adrogate_v","non-obsolete words",408,1,1
"adscribe_v","non-obsolete words",490,2,2
"adsignify_v","non-obsolete words",336,1,1
"adsorb_v","non-obsolete words",153,2,2
"adstipulate_v","non-obsolete words",154,1,1
"adulate_v","non-obsolete words",412,1,1
"adult_v","non-obsolete words",115,1,1
"adulter_v","non-obsolete words",642,2,2
"adulterate_v","non-obsolete words",498,4,4
"adulterize_v","non-obsolete words",431,2,2
"adumber_v","non-obsolete words",489,1,1
"adumbrate_v","non-obsolete words",487,4,5
"adust_v2","non-obsolete words",599,1,1
"advance_v","non-obsolete words",774,27,34
"advantage_v","non-obsolete words",565,10,14
"advect_v","non-obsolete words",82,1,1
"advene_v","non-obsolete words",373,2,3
"adventure_v","non-obsolete words",694,7,7
"adverbialize_v","non-obsolete words",220,1,1
"adverse_v","non-obsolete words",631,1,1
"advert_v","non-obsolete words",599,4,6
"advertise_v","non-obsolete words",598,10,15
"advise_v","non-obsolete words",699,25,34
"advocate_v","non-obsolete words",495,5,7
"advoke_v","non-obsolete words",491,2,3
"adze_v","non-obsolete words",280,1,1
"aerate_v","non-obsolete words",240,4,4
"aerify_v","non-obsolete words",198,1,1
"aerobat_v","non-obsolete words",94,1,1
"aerobate_v","non-obsolete words",189,1,1
"aerobicize_v","non-obsolete words",42,1,1
"aerobrake_v","non-obsolete words",39,1,1
"aeroplane_v","non-obsolete words",118,2,2
"aerosol_v","non-obsolete words",60,2,2
"aerosolize_v","non-obsolete words",80,2,2
"aestheticize_v","non-obsolete words",160,2,2
"aestivate_v","non-obsolete words",401,2,2
"afear_v","non-obsolete words",470,2,3
"affect_v1","non-obsolete words",599,15,23
"affect_v2","non-obsolete words",599,6,9
"affection_v","non-obsolete words",479,1,1
"affectionate_v","non-obsolete words",459,2,3
"affeer_v","non-obsolete words",774,2,3
"affeir_v","non-obsolete words",609,1,1
"affiance_v","non-obsolete words",537,5,8
"affiche_v","non-obsolete words",642,2,2
"afficher_v","non-obsolete words",210,2,2
"affile_v2","non-obsolete words",512,1,1
"affiliate_v","non-obsolete words",401,10,12
"affine_v","non-obsolete words",551,2,3
"affirm_v","non-obsolete words",699,13,15
"affirmative_v","non-obsolete words",249,1,1
"affix_v","non-obsolete words",576,13,14
"afflate_v","non-obsolete words",549,1,1
"afflict_v","non-obsolete words",631,5,7
"afforce_v","non-obsolete words",724,6,10
"afford_v","non-obsolete words",799,11,14
"afforest_v","non-obsolete words",521,2,2
"affranchise_v","non-obsolete words",547,1,1
"affray_v","non-obsolete words",694,6,11
"affreight_v","non-obsolete words",206,2,3
"affricate_v","non-obsolete words",368,2,3
"affright_v","non-obsolete words",1224,2,3
"affrighten_v","non-obsolete words",409,1,1
"affront_v","non-obsolete words",694,8,12
"affuse_v","non-obsolete words",375,2,2
"aflame_v","non-obsolete words",401,1,1
"africanize_v","non-obsolete words",208,1,1
"afrikanderize_v","non-obsolete words",124,1,1
"afrikanerize_v","non-obsolete words",79,1,1
"after-chrome_v","non-obsolete words",134,1,1
"aftercool_v","non-obsolete words",124,1,1
"afterload_v","non-obsolete words",143,2,2
"again-say_v","non-obsolete words",642,3,5
"agatize_v","non-obsolete words",386,1,1
"age_v","non-obsolete words",584,7,7
"age-date_v","non-obsolete words",57,1,1
"age-harden_v","non-obsolete words",103,1,1
"agent_v","non-obsolete words",387,1,1
"agglomerate_v","non-obsolete words",392,4,5
"agglutinate_v","non-obsolete words",438,6,7
"agglutinize_v","non-obsolete words",209,1,1
"aggrade_v","non-obsolete words",131,1,1
"aggrandize_v","non-obsolete words",390,5,6
"aggravate_v","non-obsolete words",494,11,17
"aggrave_v","non-obsolete words",549,1,1
"aggregate_v","non-obsolete words",599,7,7
"aggress_v","non-obsolete words",454,4,5
"aggrieve_v","non-obsolete words",699,3,5
"aggroup_v","non-obsolete words",329,1,1
"aghast_v","non-obsolete words",148,1,1
"agist_v","non-obsolete words",574,4,5
"agitate_v","non-obsolete words",437,9,11
"agive_v","non-obsolete words",355,2,3
"agname_v","non-obsolete words",372,1,1
"agnize_v","non-obsolete words",489,6,10
"ago_v","non-obsolete words",749,5,8
"agonize_v","non-obsolete words",454,4,4
"agrarianize_v","non-obsolete words",186,2,2
"agree_v","non-obsolete words",611,34,45
"ague_v","non-obsolete words",388,1,1
"ah_v","non-obsolete words",188,2,2
"ahem_v","non-obsolete words",185,1,1
"ahoy_int","non-obsolete words",276,3,3
"aid_v","non-obsolete words",574,3,3
"ail_v","non-obsolete words",699,10,11
"aim_v","non-obsolete words",649,18,22
"air_v","non-obsolete words",494,12,15
"airbrush_v","non-obsolete words",112,1,1
"air-burst_v","non-obsolete words",78,1,1
"air-condition_v","non-obsolete words",87,1,1
"air-cool_v","non-obsolete words",115,1,1
"air-cure_v","non-obsolete words",156,1,1
"airdash_v","non-obsolete words",56,1,1
"airdrop_v","non-obsolete words",76,1,1
"air-dry_v","non-obsolete words",150,1,1
"air-express_v","non-obsolete words",89,1,1
"air-freight_v","non-obsolete words",81,1,1
"air-guitar_v","non-obsolete words",41,2,2
"air-harden_v","non-obsolete words",94,1,1
"air-kiss_v","non-obsolete words",49,1,1
"airland_v","non-obsolete words",83,1,1
